"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",,
"KOOL","Cesca Therapeutics Inc.","0.347","$7.51M","n/a","Capital Goods","Medical Specialities","https://www.nasdaq.com/symbol/kool",,
"CEVA","CEVA, Inc.","29.76","$651.81M","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/ceva",
"CFFA","CF Finance Acquisition Corp.","9.75","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/cffa",,
"CFFAU","CF Finance Acquisition Corp.","10.17","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/cffau",,
"CFFAW","CF Finance Acquisition Corp.","0.45","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/cffaw",,
"CSBR","Champions Oncology, Inc.","10.58","$120.61M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/csbr",
"CYOU","Changyou.com Limited","18.85","$993.74M","2009","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cyou",,
"BURG","Chanticleer Holdings, Inc.","1.96","$7.28M","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/burg",
"CTHR","Charles & Colvard Ltd.","1.07","$23.08M","1997","Consumer Durables","Consumer Specialties","https://www.nasdaq.com/symbol/cthr",,
"GTLS","Chart Industries, Inc.","80.15","$2.5B","2006","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/gtls",
"CHTR","Charter Communications, Inc.","337.82","$76.13B","n/a","Consumer Services","Television Services","https://www.nasdaq.com/symbol/chtr",
"CTAC","ChaSerg Technology Acquisition Corp.","9.8","$275.77M","2018","Finance","Business Services","https://www.nasdaq.com/symbol/ctac",,
"CTACU","ChaSerg Technology Acquisition Corp.","10.07","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/ctacu",,
"CTACW","ChaSerg Technology Acquisition Corp.","0.84","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/ctacw",,
"CHKP","Check Point Software Technologies Ltd.","116.65","$18.55B","1996","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/chkp",,
"CHEK","Check-Cap Ltd.","2.1","$11.19M","2015","Health Care","Medical Electronics","https://www.nasdaq.com/symbol/chek",,
"CHEKW","Check-Cap Ltd.","0.12","n/a","2015","Health Care","Medical Electronics","https://www.nasdaq.com/symbol/chekw",,
"CHEKZ","Check-Cap Ltd.","0.4","n/a","n/a","Health Care","Medical Electronics","https://www.nasdaq.com/symbol/chekz",,
"CKPT","Checkpoint Therapeutics, Inc.","3.85","$131.08M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ckpt",
"CEMI","Chembio Diagnostics, Inc.","6.77","$116.36M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cemi",
"CHFC","Chemical Financial Corporation","45.21","$3.23B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/chfc",,
"CCXI","ChemoCentryx, Inc.","11.66","$608.56M","2012","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ccxi",
"CHMG","Chemung Financial Corp","44.52","$216.14M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/chmg",,
"CHKE","Cherokee Inc.","0.71","$10.1M","n/a","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/chke",,
"CHFS","CHF Solutions, Inc.","8.25","$21573.75","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/chfs",
"CHMA","Chiasma, Inc.","3.51","$85.75M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/chma",
"CSSE","Chicken Soup for the Soul Entertainment, Inc.","7.8","$90.6M","2017","Consumer Services","Movies/Entertainment","https://www.nasdaq.com/symbol/csse",
"CSSEP","Chicken Soup for the Soul Entertainment, Inc.","24.83","n/a","n/a","Consumer Services","Movies/Entertainment","https://www.nasdaq.com/symbol/cssep",
"PLCE","Children&#39;s Place, Inc. (The)","89.39","$1.45B","1997","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/plce",
"CMRX","Chimerix, Inc.","2.25","$114.13M","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cmrx",
"CADC","China Advanced Construction Materials Group, Inc.","3.17","$17.7M","n/a","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/cadc",
"CAAS","China Automotive Systems, Inc.","2.86","$90.5M","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/caas",
"GLG","China Bat Group, Inc.","1.5002","$1.48M","2013","Finance","Major Banks","https://www.nasdaq.com/symbol/glg",
"CBPO","China Biologic Products Holdings, Inc.","79.46","$3.13B","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/cbpo",
"CCCL","China Ceramics Co., Ltd.","1.75","$9.9M","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/cccl",
"CCRC","China Customer Relations Centers, Inc.","10.96","$200.89M","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ccrc",
"JRJC","China Finance Online Co. Limited","0.9608","$22.69M","2004","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/jrjc",,
"HGSH","China HGS Real Estate, Inc.","1.01","$45.5M","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/hgsh",
"CIFS","China Internet Nationwide Financial Services Inc.","0.949","$20.99M","2017","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/cifs",,
"CJJD","China Jo-Jo Drugstores, Inc.","2.31","$66.84M","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/cjjd",
"CLDC","China Lending Corporation","1.13","$27.72M","2014","Finance","Diversified Financial Services","https://www.nasdaq.com/symbol/cldc",,
"CHNR","China Natural Resources, Inc.","1.74","$43.34M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/chnr",
"CREG","China Recycling Energy Corporation","0.9701","$9.99M","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/creg",,
"SXTC","China SXT Pharmaceuticals, Inc.","5.81","$137.99M","2019","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/sxtc",
"CNTF","China TechFaith Wireless Communication Technology Limited","1.2033","$12.74M","2005","n/a","n/a","https://www.nasdaq.com/symbol/cntf",,
"CXDC","China XD Plastics Company Limited","2.9648","$149.57M","n/a","Capital Goods","Containers/Packaging","https://www.nasdaq.com/symbol/cxdc",,
"CCIH","ChinaCache International Holdings Ltd.","1.14","$30.37M","2010","Technology","EDP Services","https://www.nasdaq.com/symbol/ccih",,
"CNET","ChinaNet Online Holdings, Inc.","1.728","$27.88M","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/cnet"
"IMOS","ChipMOS TECHNOLOGIES INC.","16.4","$592.67M","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/imos",,
"CDXC","ChromaDex Corporation","3.53","$194.51M","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/cdxc",,
"CHSCL","CHS Inc","26.81","n/a","n/a","Consumer Services","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/chscl",,
"CHSCM","CHS Inc","25.44","$483.36M","n/a","Consumer Services","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/chscm",,
"CHSCN","CHS Inc","25.97","$436.3M","n/a","Consumer Services","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/chscn",,
"CHSCO","CHS Inc","27.26","$308.56M","n/a","Consumer Services","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/chsco",,
"CHSCP","CHS Inc","27.795","$201.02M","n/a","Consumer Services","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/chscp",,
"CHDN","Churchill Downs, Incorporated","93.32","$11.4B","n/a","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/chdn",
"CHUY","Chuy&#39;s Holdings, Inc.","22.75","$385.62M","2012","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/chuy",
"CDTX","Cidara Therapeutics, Inc.","2.68","$74.37M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/cdtx",
"CMCT","CIM Commercial Trust Corporation","17.65","$772.98M","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/cmct",,
"CMCTP","CIM Commercial Trust Corporation","29.5","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/cmctp",,
"CMPR","Cimpress N.V","80.51","$2.48B","n/a","Miscellaneous","Publishing","https://www.nasdaq.com/symbol/cmpr",,
"CINF","Cincinnati Financial Corporation","84.06","$13.68B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/cinf",,
"CIDM","Cinedigm Corp","1.12","$39.78M","n/a","Consumer Services","Consumer Electronics/Video Chains","https://www.nasdaq.com/symbol/cidm",,
"CTAS","Cintas Corporation","197.61","$20.66B","1983","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/ctas",,
"CRUS","Cirrus Logic, Inc.","38.11","$2.25B","1989","Technology","Semiconductors","https://www.nasdaq.com/symbol/crus",
"CSCO","Cisco Systems, Inc.","47.58","$213.92B","1990","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/csco",
"CTRN","Citi Trends, Inc.","20.97","$255.83M","2005","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/ctrn",
"CTXR","Citius Pharmaceuticals, Inc.","0.96","$17.09M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ctxr",
"CTXRW","Citius Pharmaceuticals, Inc.","0.25","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ctxrw",
"CZNC","Citizens & Northern Corp","25.4","$312.91M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cznc",,
"CZWI","Citizens Community Bancorp, Inc.","11.7","$128.16M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/czwi",
"CZFC","Citizens First Corporation","22.08","$56.03M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/czfc",,
"CIZN","Citizens Holding Company","21.11","$103.53M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cizn",,
"CTXS","Citrix Systems, Inc.","105.04","$14.16B","1995","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ctxs",
"CHCO","City Holding Company","75.25","$1.25B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/chco",,
"CIVB","Civista Bancshares, Inc. ","19.19","$295.56M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/civb",
"CIVBP","Civista Bancshares, Inc. ","61.38","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/civbp",
"CLAR","Clarus Corporation","10.9","$339.06M","n/a","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/clar",,
"CLNE","Clean Energy Fuels Corp.","1.8","$366.25M","2007","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/clne",,
"CACG","ClearBridge All Cap Growth ETF","29.24","$57.02M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cacg",,
"YLDE","ClearBridge Dividend Strategy ESG ETF","27.7002","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ylde",,
"LRGE","ClearBridge Large Cap Growth ESG ETF","31.52","$3.15M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/lrge",,
"CLFD","Clearfield, Inc.","12.44","$169.96M","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/clfd",
"CLRO","ClearOne, Inc.","1.96","$32.56M","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/clro",
"CLSD","Clearside Biomedical, Inc.","1.41","$45.15M","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/clsd",
"CLIR","ClearSign Combustion Corporation","1.15","$30.66M","2012","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/clir",,
"CMTA","Clementia Pharmaceuticals Inc.","13.8","$521.81M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cmta",,
"CBLI","Cleveland BioLabs, Inc.","1.45","$16.38M","2006","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/cbli",
"CLVS","Clovis Oncology, Inc.","24.89","$1.31B","2011","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/clvs",
"CLPS","CLPS Incorporation","15.73","$217.29M","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/clps",,
"CMFN","CM Finance Inc","7.74","$105.37M","2014","n/a","n/a","https://www.nasdaq.com/symbol/cmfn",,
"CMFNL","CM Finance Inc","25.2958","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cmfnl",,
"CMSS","CM Seven Star Acquisition Corporation","10.2521","$269.87M","2017","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/cmss",,
"CMSSR","CM Seven Star Acquisition Corporation","0.28","n/a","2017","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/cmssr",,
"CMSSU","CM Seven Star Acquisition Corporation","10.65","n/a","2017","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/cmssu",,
"CMSSW","CM Seven Star Acquisition Corporation","0.22","n/a","2017","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/cmssw",,
"CME","CME Group Inc.","177.32","$63.44B","2002","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/cme",,
"CCNE","CNB Financial Corporation","26.38","$402.23M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ccne",,
"CCB","Coastal Financial Corporation","15.48","$184.11M","2018","Finance","Major Banks","https://www.nasdaq.com/symbol/ccb",,
"COKE","Coca-Cola Consolidated, Inc.","224.61","$2.1B","1972","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/coke",
"COCP","Cocrystal Pharma, Inc.","2.65","$79.3M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cocp",
"CODA","Coda Octopus Group, Inc.","7.45","$79.45M","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/coda",
"CDXS","Codexis, Inc.","21.68","$1.17B","2010","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/cdxs",
"CODX","Co-Diagnostics, Inc.","1.2","$20.22M","2017","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/codx",
"CVLY","Codorus Valley Bancorp, Inc","22.39","$200.54M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/cvly",
"JVA","Coffee Holding Co., Inc.","6.88","$38.32M","2005","Consumer Non-Durables","Food Distributors","https://www.nasdaq.com/symbol/jva",
"CCOI","Cogent Communications Holdings, Inc.","48.73","$2.26B","n/a","Consumer Services","Telecommunications Equipment","https://www.nasdaq.com/symbol/ccoi",
"CGNX","Cognex Corporation","47.95","$8.26B","1989","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cgnx",,
"CTSH","Cognizant Technology Solutions Corporation","72.97","$42.1B","1998","Technology","EDP Services","https://www.nasdaq.com/symbol/ctsh",,
"CWBR","CohBar, Inc.","3.28","$139.59M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cwbr",
"COHR","Coherent, Inc.","124.65","$3.03B","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/cohr",
"CHRS","Coherus BioSciences, Inc.","13.75","$935.34M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/chrs",
"COHU","Cohu, Inc.","17.67","$719.18M","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/cohu",
"CLCT","Collectors Universe, Inc.","14.69","$133.99M","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/clct",
"COLL","Collegium Pharmaceutical, Inc.","13.87","$461.14M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/coll",
"CIGI","Colliers International Group Inc. ","64.08","$2.43B","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/cigi",,
"CLGN","CollPlant Holdings, Ltd.","5.3","$20.2M","n/a","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/clgn",
"CBAN","Colony Bankcorp, Inc.","15.66","$132.25M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cban",
"COLB","Columbia Banking System, Inc.","36.67","$2.69B","1992","Finance","Major Banks","https://www.nasdaq.com/symbol/colb",
"CLBK","Columbia Financial, Inc.","15.92","$1.84B","2018","Finance","Savings Institutions","https://www.nasdaq.com/symbol/clbk",
"COLM","Columbia Sportswear Company","106.97","$7.38B","1998","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/colm",,
"CMCO","Columbus McKinnon Corporation","34.92","$815.55M","1996","Capital Goods","Construction/Ag Equipment/Trucks","https://www.nasdaq.com/symbol/cmco",,
"CMCSA","Comcast Corporation","37","$167.46B","n/a","Consumer Services","Television Services","https://www.nasdaq.com/symbol/cmcsa",,
"CCNI","Command Center, Inc.","3.92","$18.48M","n/a","Technology","Professional Services","https://www.nasdaq.com/symbol/ccni",
"CBSH","Commerce Bancshares, Inc.","60.62","$6.75B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cbsh",
"CBSHP","Commerce Bancshares, Inc.","26.19","$2.4B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cbshp",
"CVGI","Commercial Vehicle Group, Inc.","7.09","$219.05M","2004","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/cvgi",
"COMM","CommScope Holding Company, Inc.","21.68","$4.17B","2013","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/comm",
"JCS","Communications Systems, Inc.","2.61","$23.9M","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/jcs",
"ESXB","Community Bankers Trust Corporation.","7.69","$170.2M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/esxb",,
"CFBI","Community First Bancshares, Inc.","10.27","$76.83M","2017","Finance","Savings Institutions","https://www.nasdaq.com/symbol/cfbi",
"CTBI","Community Trust Bancorp, Inc.","41.55","$736.79M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ctbi",
"CWBC","Community West Bancshares","10.41","$86.19M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cwbc",,
"CVLT","Commvault Systems, Inc.","66.54","$3.05B","2006","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cvlt",
"CGEN","Compugen Ltd.","3.41","$195.04M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/cgen",,
"CPSI","Computer Programs and Systems, Inc.","27.35","$385.25M","2002","Technology","EDP Services","https://www.nasdaq.com/symbol/cpsi",
"CTG","Computer Task Group, Incorporated","4.28","$61.12M","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/ctg",
"SCOR","comScore, Inc.","21.67","$1.28B","2018","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/scor",
"CHCI","Comstock Holding Companies, Inc.","2.01","$7.71M","2004","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/chci",
"CMTL","Comtech Telecommunications Corp.","25.75","$615.58M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/cmtl",,
"CNAT","Conatus Pharmaceuticals Inc.","1.99","$65.96M","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cnat",,
"CNCE","Concert Pharmaceuticals, Inc.","14.21","$332.93M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cnce",
"BBCP","Concrete Pumping Holdings, Inc. ","7.34","$211.74M","2017","Finance","Business Services","https://www.nasdaq.com/symbol/bbcp",
"CDOR","Condor Hospitality Trust, Inc.","8.45","$100.45M","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/cdor",
"CFMS","ConforMIS, Inc.","0.793","$51.78M","2015","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/cfms",
"CNFR","Conifer Holdings, Inc.","4.72","$40.6M","2015","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/cnfr",
"CNFRL","Conifer Holdings, Inc.","24.25","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/cnfrl",
"CNMD","CONMED Corporation","70.67","$1.99B","1987","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/cnmd",,
"CTWS","Connecticut Water Service, Inc.","68.2","$821.79M","n/a","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/ctws",
"CNOB","ConnectOne Bancorp, Inc.","20.68","$729.45M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cnob",
"CONN","Conn&#39;s, Inc.","20.38","$646.62M","2003","Consumer Services","Consumer Electronics/Video Chains","https://www.nasdaq.com/symbol/conn",
"CNSL","Consolidated Communications Holdings, Inc.","10.58","$753.83M","2005","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/cnsl",
"CWCO","Consolidated Water Co. Ltd.","12.58","$188.25M","n/a","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/cwco",,
"CNAC","Constellation Alpha Capital Corp.","10.2903","$190.68M","2017","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/cnac",,
"CNACR","Constellation Alpha Capital Corp.","0.14","n/a","2017","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/cnacr",,
"CNACU","Constellation Alpha Capital Corp.","10.35","$191.79M","2017","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/cnacu",,
"CNACW","Constellation Alpha Capital Corp.","0.077","n/a","2017","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/cnacw",,
"CNST","Constellation Pharmaceuticals, Inc.","9.69","$249.86M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cnst",
"ROAD","Construction Partners, Inc.","11.5","$591.27M","2018","Basic Industries","Military/Government/Technical","https://www.nasdaq.com/symbol/road",
"CPSS","Consumer Portfolio Services, Inc.","4.09","$92.39M","1992","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/cpss",
"CFRX","ContraFect Corporation","0.415","$32.95M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cfrx",,
"CTRV","ContraVir Pharmaceuticals Inc.","0.2647","$4.33M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ctrv",,
"CTRL","Control4 Corporation","17.66","$468.29M","2013","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/ctrl",,
"AWSM","Cool Holdings Inc.","2.37","$18.47M","n/a","Consumer Non-Durables","Electronic Components","https://www.nasdaq.com/symbol/awsm",,
"CPRT","Copart, Inc.","52.19","$12.21B","1994","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/cprt",
"CRBP","Corbus Pharmaceuticals Holdings, Inc.","7.64","$437.37M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/crbp",
"CORT","Corcept Therapeutics Incorporated","11.38","$1.31B","1982","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cort",,
"CORE","Core-Mark Holding Company, Inc.","28.95","$1.32B","n/a","Consumer Non-Durables","Food Distributors","https://www.nasdaq.com/symbol/core",
"CSOD","Cornerstone OnDemand, Inc.","59.37","$3.48B","2011","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/csod",
"CORV","Correvio Pharma Corp.","3.81","$138.05M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/corv",,
"CRVL","CorVel Corp.","64.06","$1.19B","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/crvl",,
"CRVS","Corvus Pharmaceuticals, Inc.","4.16","$121.81M","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/crvs",
"CSGP","CoStar Group, Inc.","397.22","$14.47B","1998","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/csgp",
"COST","Costco Wholesale Corporation","208.72","$91.94B","n/a","Consumer Services","Department/Specialty Retail Stores","https://www.nasdaq.com/symbol/cost",,
"CPAH","CounterPath Corporation","1.7581","$10.45M","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cpah",,
"ICBK","County Bancorp, Inc.","17.23","$115.39M","2015","Finance","Major Banks","https://www.nasdaq.com/symbol/icbk",
"COUP","Coupa Software Incorporated","94.05","$5.59B","2016","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/coup",,
"CVTI","Covenant Transportation Group, Inc.","23.18","$425.26M","1994","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/cvti",
"CVET","Covetrus, Inc.","37.56","$4.18B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cvet",
"COWN","Cowen Inc.","15.84","$477.96M","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/cown",,
"COWNL","Cowen Inc.","24.87","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/cownl",,
"COWNZ","Cowen Inc.","25.2012","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/cownz",,
"PMTS","CPI Card Group Inc.","3.16","$35.27M","2015","Finance","Finance Companies","https://www.nasdaq.com/symbol/pmts",,
"CPSH","CPS Technologies Corp.","1.35","$17.82M","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/cpsh",,
"CRAI","CRA International,Inc.","41.65","$337.41M","1998","Miscellaneous","Other Consumer Services","https://www.nasdaq.com/symbol/crai",
"CBRL","Cracker Barrel Old Country Store, Inc.","169.18","$4.07B","1981","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/cbrl",
"BREW","Craft Brew Alliance, Inc.","16.27","$315.34M","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/brew",
"CRAY","Cray Inc","22.01","$898.82M","n/a","Technology","Computer Manufacturing","https://www.nasdaq.com/symbol/cray",,
"CREX","Creative Realities, Inc.","2.91","$8.62M","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/crex",
"CREXW","Creative Realities, Inc.","0.55","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/crexw",
"CACC","Credit Acceptance Corporation","435.99","$8.27B","1992","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/cacc",,
"DGLD","Credit Suisse AG","44.43","$16.84M","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/dgld",,
"DSLV","Credit Suisse AG","26.91","$29.3M","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/dslv",,
"GLDI","Credit Suisse AG","8.76","$36.72M","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/gldi",,
"SLVO","Credit Suisse AG","6.98","$24.44M","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/slvo",,
"TVIX","Credit Suisse AG","36.51","$508.71M","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/tvix",,
"UGLD","Credit Suisse AG","100.07","$134.75M","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/ugld",,
